author,content,created_at,postLink
ec.europa.eu,"🎾Roland Garros Stadium, 
🏑 Yves du Manoir hockey stadium, 
🏓South Paris Arena for table tennis or 
🇪🇺 Grand opening ceremony 
 
Did you spot the EU flag at any of these iconic locations during the #Paris2024 Olympics and Paralympics?",2024-09-08T07:44:37.485Z,https://bsky.app/profile/ec.europa.eu/post/3l3mvbxwiha2s
buffa-channel.bsky.social,"男子シングルス小田凱人が金メダル「かっこよすぎる俺、このために生まれてきた」【パラ車いすテニス】
buffa-channel.com/archives/207...

#車いすテニス #Tennis #五輪 #Olympics #パラリンピック2024",2024-09-08T03:47:11.309Z,https://bsky.app/profile/buffa-channel.bsky.social/post/3l3mhziu6of24
news-feed.bsky.social,"@globaltimesnews: ""I'm proud of myself,"" Chinese tennis player #ZhangShuai posted on Weibo after winning the runner-up position in the 2024 #USOpen women's doubles. ""Defeating champions from this year's previous grand slams, as well as the 2024 Paris Olympics mixed doubles champions, to reach the fi",2024-09-08T01:40:40.487Z,https://bsky.app/profile/news-feed.bsky.social/post/3l3max7jx5d2f
katie.bzky.team,something i didn't fully appreciate in challengers (2024) until watching the tennis olympics events is that the movie didn't exaggerate the sound effects for the sake of homoeroticism because tennis players really do just sound like they're having gay sex the entire match,2024-09-03T16:52:30.169Z,https://bsky.app/profile/katie.bzky.team/post/3l3bbl3njil25
news-feed.bsky.social,"@ChinaDaily: Sixty-five athletes and eight coaches from the national team, which achieved outstanding results at the 2024 Paris #Olympics, will be in Hong Kong from Aug 29 to 31, including champions in events such as diving, swimming and table tennis. (Photos: Adam Lam) #Paris2024 https://t.co/LcSZT",2024-08-29T08:19:08.312Z,https://bsky.app/profile/news-feed.bsky.social/post/3l2tskj72ya2s
afp-bot.bsky.social,"Novak Djokovic and Coco Gauff launch their US Open title defences on Monday, Serbian superstar Djokovic aiming to follow up his emotional Paris Olympics triumph with his first Grand Slam title of 2024 #AFPSports 
https://u.afp.com/5LUd",2024-08-26T17:39:09.060Z,https://bsky.app/profile/afp-bot.bsky.social/post/3l2nahf3s5a2a
euromaidanpress.bsky.social,"IOC's Russian ""neutral athlete"" policy implodes at 2024 Olympics. 

Tennis silver medalists Andreeva and Shnaider exposed as invasion supporters; 17 Russian athletes total violated neutrality rules. IOC must enforce a full Russian ban, argues @MTemnycky",2024-08-17T14:30:06.000Z,https://bsky.app/profile/euromaidanpress.bsky.social/post/3kzwc4zdikw2v
maladroithe.bsky.social,You just have to tell them there are no electric kettles in the Olympic village,2024-08-13T00:27:03.938Z,https://bsky.app/profile/maladroithe.bsky.social/post/3kzkqpnlrnu2w
llewcid.bsky.social,Would watch the fuck out of a show where they pitted these people against an Olympian,2024-08-12T13:57:30.994Z,https://bsky.app/profile/llewcid.bsky.social/post/3kzjnjwet5p2a
kaleidogames.com,"This is where the Paris 2024 #Olympics arcade Tennis #Gold medal was earned.
Wanna play this game?  Check SLAM AND ROLL.",2024-08-11T12:25:29.436Z,https://bsky.app/profile/kaleidogames.com/post/3kzgxwjtkqi2i
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨1 - lebron
️⚠️💨1 - hacked
️⚠️💨1 - yabusele
️⚠️💨1 - nba
5th - basketball
6th - refs
7th - leak
8th - jordan
9th - ultra
10th - thunder
(tap/click to see all posts on Bluesky featuring that word!)

#FreePalestine 🇵🇸",2024-08-10T20:20:34.024Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kzfbyzdsxw2k
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨1 - ブレイキン
️⚠️💨1 - コミケ
️⚠️💨1 - helicopter
️⚠️💨1 - gaza
5th - 台風
6th - ukraine
7th - 卓球
8th - ブラ
9th - ハート
10th - お盆
(tap/click to see all posts on Bluesky featuring that word!)

#йобанарусня 🇺🇦",2024-08-10T14:50:36.043Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kzepkyqjmn2x
chklaue.bsky.social,"📌 The Paris 2024 Olympians have elected 4 new members to IOC Athletes’ Commission:

🔹Allyson Felix (USA, Athletics)
🔹Kim Bui (GER, Gymnastics)
🔹Jessica Fox (AUS, Canoe)
🔹Marcus Daniell (NZL, Tennis)

Their term is 8 years.

👉 olympics.com/ioc/news/par...
#Olympics #Paris2024",2024-08-08T21:47:49.575Z,https://bsky.app/profile/chklaue.bsky.social/post/3kzafxaenrx2b
waldograce.bsky.social,"U.S. table tennis team has a moment in the spotlight, helped along by an All-Star fan
#Olympics
#NPR
https://www.npr.org/2024/08/07/g-s1-15647/table-tennis-olympics-lily-zhang-anthony-edwards",2024-08-08T00:18:53.000Z,https://bsky.app/profile/waldograce.bsky.social/post/3kz65wgws2n2r
blipsnewslinks.bsky.social,"BLIP'S 2024 OLYMPICS TIDBITS: AUGUST 7TH 2024

Several Runners Collide And Fall During Olympic Race... Olympic Table Tennis Competition Includes Sibling Pairs...  LA Watches And Prepares For 2028 Olympics
#Paris2024  #Olympics  #LA2028  

CHECK OUT blips.news FOR LINKS TO MORE OLYMPICS NEWS STORIES",2024-08-07T21:07:33.800Z,https://bsky.app/profile/blipsnewslinks.bsky.social/post/3kz5tadc3fc2c
news-feed.bsky.social,"@AFP: Olympics Topshots - 2.

@AFP photographers capture the action on Day 11 of the 2024 Paris #Olympics 

- Men's long jump final
- Women's freestyle 50kg wrestling quarter-final
- Men’s formula kiteboarding event
- Women's table tennis doubles https://t.co/qGlCkxoHH2",2024-08-07T02:21:35.984Z,https://bsky.app/profile/news-feed.bsky.social/post/3kz3ucwjgts2z
